ID,问题单描述,问题单生成原因,问题单解决方案,提单人,修改人,
202501010915,虚拟机启动卡在 95% 进度条,宿主机存储心跳超时，导致卷锁定无法释放。,重启宿主机存储代理服务，手动释放挂载卷锁。,Paul/p1888,Alex/a1666,
202501011030,新创建的管理员账号登录失败,前端 MD5 加密逻辑与后台 SHA256 解密方式不匹配。,统一前后端加密算法为国密 SM3 并在代码层面同步。,Sarah/s2022,Mike/m3001,
202501011422,集群 HA 触发后部分虚拟机未拉起,目标节点可用内存不足，且内存气球驱动未正常工作。,调整节点超分比，重启 Ballooning 服务释放空闲内存。,Kevin/k5544,Linda/l9988,
202501020845,无法删除已挂载 ISO 的虚拟机,数据库中 is_locked 标志位因事务异常未回滚。,在管理后台执行强制卸载脚本，清理数据库脏数据。,Alice/a1234,Paul/p1888,
202501021105,监控面板显示宿主机网络流量为零,SNMP 采集插件在处理大包时发生堆栈溢出导致进程崩溃。,升级 SNMP Agent，增加对巨型帧（Jumbo Frame）的支持。,Steve/s5678,Alex/a1666,
202501031310,虚拟机热迁移（vMotion）在 10% 报错,源和目的节点之间的 10G 迁移网络存在丢包。,更换损坏的光纤跳线，重新测试网络带宽。,Mike/m3001,Sarah/s2022,
202501031640,导出虚拟机 OVA 镜像速度极慢,并发任务数超过了存储接口的最大 QPS 限制。,增加导出任务队列，限制同一存储池并发数为 3。,Linda/l9988,Kevin/k5544,
202501040920,用户修改 CPU 规格后虚拟机无法开机,该租户的配额（Quota）已满，校验逻辑未报错。,优化前端提示信息，并增加配额实时刷新机制。,David/d7766,Paul/p1888,
202501041555,虚拟机内部时间与物理机不同步,宿主机 NTP 客户端未指向统一的授时中心。,配置所有宿主机指向公司内网 NTP 集群。,Alex/a1666,Sarah/s2022,
202501051012,磁盘扩容后系统内分区大小未改变,虚拟磁盘后端扩容成功，但未发送逻辑卷刷新信号。,执行 rescan-scsi-bus.sh 并通过管理端下发信号。,Paul/p1888,Mike/m3001,
202501051420,控制台控制虚拟机时出现闪退现象,浏览器 WebRTC 插件与虚拟化控制台 VNC 协议冲突。,升级 VNC Proxy 模块，改用 HTML5 无插件模式。,Sarah/s2022,Alice/a1234,
202501060905,虚拟机无法获取 DHCP 地址,安全组规则中漏掉了 UDP 67/68 端口放行。,在默认安全组中添加 DHCP 流量放行规则。,Mike/m3001,Linda/l9988,
202501061345,存储卷状态显示“未知”，无法连接,底层存储阵列控制器发生了主备切换。,触发存储链路重新扫描，恢复多路径（Multipath）连接。,Kevin/k5544,Steve/s5678,
202501071130,系统日志提示“内存读写校验错误”,物理服务器一根内存条出现硬件 ECC 故障。,申请下线宿主机，联系硬件厂商更换内存条。,Paul/p1888,Alex/a1666,
